id,nhom_hang,stt,ten,xuat_xu,quy_cach,dvt,don_gia,anh
22,Giấy in,4,Giấy in Quality A3 ĐL70/90,Thái lan,A3 - 500tờ,ream,124000,giay-in_0022.webp
23,Giấy in,6,Giấy in A3 An hòa ĐL70/90 vỏ trắng( bọc nilon),Việt nam,A3 - 500tờ,ream,116000,giay-in_0023.webp
24,Giấy in,1,Giấy A1 tờ ĐL100- trắng,Indonesia,A1,Tờ,3500,giay-in_0024.webp
25,Giấy in,2,Giấy A0 tờ ĐL100- trắng,Indonesia,A0,Tờ,4500,giay-in_0025.webp
26,Giấy in,3,Giấy A0 tờ ĐL80- Xi măng,Nhật,A0,Tờ,3000,
27,Giấy in ảnh,1,Giấy in ảnh 1mặt Kanshai A4 ĐL 230,Đài Loan,20tờ/ram,ream,25000,giay-in-anh_0027.webp
28,Giấy in ảnh,2,Giấy in ảnh 1 mặt Kanshai A3 ĐL 230,Đài Loan,20tờ/ram,ream,50000,giay-in-anh_0028.webp
29,Giấy in ảnh,3,Giấy in ảnh 1 mặt Kanshai A4 ĐL 135,Đài Loan,100 tờ/ ream,ream,65000,giay-in-anh_0029.webp
30,Giấy in ảnh,4,Giấy in ảnh đề can 1 mặt Kanshai A4 ĐL 135,Đài Loan,50 tờ/ ream,ream,75000,giay-in-anh_0030.webp
31,Giấy in ảnh,1,Giấy in ảnh 2 mặt Kanshai A4 ĐL 140,Đài Loan,50 tờ/ ream,ream,55000,
32,Giấy in ảnh,2,Giấy in ảnh 2 mặt Kanshai A4 ĐL 160,Đài Loan,50 tờ/ ream,ream,60000,
33,Giấy in ảnh,3,Giấy in ảnh 2 mặt Kanshai A4 ĐL 200,Đài Loan,50 tờ/ ream,ream,65000,
34,Giấy in ảnh,4,Giấy in ảnh 2 mặt Kanshai A4 ĐL 230,Đài Loan,50tờ/ ream,ream,70000,
35,Giấy in ảnh,5,Giấy in ảnh 2 mặt Kanshai A4 ĐL 250,Đài Loan,50tờ/ ream,ream,75000,
36,Giấy in ảnh,6,Giấy in ảnh 2 mặt Kanshai A4 ĐL 300,Đài Loan,50tờ/ ream,ream,80000,
37,Giấy in ảnh,7,Giấy in ảnh 2 mặt Kanshai A3 ĐL 160,Đài Loan,50tờ/ ream,ream,120000,
38,Giấy in ảnh,8,Giấy in ảnh 2 mặt Kanshai A3 ĐL 200,Đài Loan,50tờ/ ream,ream,130000,
39,Giấy in ảnh,9,Giấy in ảnh 2 mặt Kanshai A3 ĐL 230,Đài Loan,50tờ/ ream,ream,140000,
40,Giấy in ảnh,10,Giấy in ảnh 2 mặt Kanshai A3 ĐL 250,Đài Loan,50 tờ/ ream,ream,150000,giay-in-anh_0040.webp
41,Giấy in ảnh,11,Giấy in ảnh 2 mặt Kanshai A3 ĐL 300,Đài Loan,50 tờ/ ream,ream,160000,
42,Giấy in ảnh,1,Giấy in ảnh 1 mặt kanshai A4- ĐL 230 Có vân,Đài Loan,50 tờ/ ream,ream,70000,
43,Giấy in ảnh,2,Giấy in ảnh 1 mặt kanshai A4- ĐL 250 Có vân,Đài Loan,50 tờ/ ream,ream,75000,
44,Giấy in ảnh,3,Giấy in ảnh 2 mặt kanshai A4- ĐL 230 Có vân,Đài Loan,50 tờ/ ream,ream,75000,
45,Giấy in ảnh,4,Giấy in ảnh 2 mặt kanshai A4- ĐL 250 Có vân,Đài Loan,50 tờ/ ream,ream,80000,giay-in-anh_0045.webp
46,Giấy in ảnh,5,Giấy in ảnh 2 mặt kanshai A3- ĐL 250 Có vân,Đài Loan,50 tờ/ ream,ream,170000,
47,Giấy in ảnh,1,Giấy in màu 1 mặt A4 Kanshai ĐL 130,Đài Loan,100 tờ,ream,65000,
48,Giấy in ảnh,2,Giấy in màu 1 mặt A3 Kanshai ĐL 130,Đài Loan,100 tờ,ream,130000,
49,Giấy in ảnh,3,Giấy in màu 2 mặt A4 Kanshai ĐL 150,Đài Loan,100 tờ,ream,70000,
50,Giấy in ảnh,4,Giấy in màu 2 mặt A3 Kanshai ĐL 150,Đài Loan,100 tờ,ream,140000,
51,Giấy in ảnh,5,Giấy in màu 2 mặt A4 Kanshai ĐL 220( Card trơn),Đài Loan,50 tờ,ream,70000,
52,Giấy in ảnh,6,Giấy in màu 2 mặt A4 Kanshai ĐL 250( Card trơn),Đài Loan,50 tờ,ream,75000,
53,Giấy in ảnh,7,Giấy in màu 2 mặt A3 Kanshai ĐL 220( Card trơn),Đài Loan,50 tờ,ream,140000,
54,Giấy in ảnh,8,Giấy in màu 2 mặt A3 Kanshai ĐL 250( Card trơn),Đài Loan,50 tờ,ream,150000,
55,Giấy liên tục,1,Giấy đục lỗ liên tục A4 - 1 liên 2 dao(1500 tờ/ thùng),Việt nam,210 x 279,Thùng,275000,giay-lien-tuc_0055.webp
56,Giấy liên tục,2,Giấy đục lỗ liên tục A4 - 1 liên 2 dao(1500 tờ/ thùng),Việt nam,241 x 279,Thùng,315000,giay-lien-tuc_0056.webp
57,Giấy liên tục,3,Giấy đục lỗ liên tục A4 - 2 liên 2 dao(1500 tờ/ thùng),Việt nam,210 x 279,Thùng,450000,giay-lien-tuc_0057.webp
58,Giấy liên tục,4,Giấy đục lỗ liên tục A4 - 2 liên 2 dao(1500 tờ/ thùng),Việt nam,241 x 279,Thùng,550000,giay-lien-tuc_0058.webp
59,Giấy liên tục,5,Giấy đục lỗ liên tục A4 - 3 liên 2 dao(1500 tờ/ thùng),Việt nam,210 x 279,Thùng,450000,giay-lien-tuc_0059.webp
60,Giấy liên tục,6,Giấy đục lỗ liên tục A4 3 liên 2 dao (1500 tờ/ thùng),Việt nam,241 x 279,Thùng,550000,
61,Giấy liên tục,7,Giấy đục lỗ liên tục A4 - 4 liên 2 dao(1500 tờ/ thùng),Việt nam,210 x 279,Thùng,450000,giay-lien-tuc_0061.webp
62,Giấy liên tục,8,Giấy đục lỗ liên tục A4 - 4 liên 2 dao(1500 tờ/ thùng),Việt nam,241 x 279,Thùng,550000,
63,Giấy liên tục,1,Giấy than Horse A4 xanh - đen (Hàng hãng),Thái Lan,100 tờ/ tập,Tập,90000,
64,Bìa các loại,1,Bìa màu A4 ĐL160- SUMMER,Việt nam,100tờ/ream,ream,45000,bia-cac-loai_0064.webp
65,Bìa các loại,2,Bìa màu A3 ĐL160- SUMMER,Việt nam,100tờ/ream,ream,90000,bia-cac-loai_0065.webp
66,Bìa các loại,3,Bìa A4 vân thơm ĐL160,Thái lan,100tờ/ream,ream,85000,bia-cac-loai_0066.webp
67,Bìa các loại,4,Bìa A4 màu ĐL 160 (5 màu/ream),Việt nam,100tờ/ream,ream,70000,bia-cac-loai_0067.webp
68,Bìa các loại,5,Bìa A4 màu đặc biệt ĐL160,Việt nam,100tờ/ream,ream,70000,bia-cac-loai_0068.webp
69,Bìa các loại,1,Bìa mica A4 trung 100 tờ,Việt nam,100tờ/ream,ream,75000,bia-cac-loai_0069.webp
70,Bìa các loại,2,Bìa mica A4 dày 100 tờ,Việt nam,100tờ/ream,ream,80000,bia-cac-loai_0070.webp
71,Bìa các loại,3,Bìa mica A3 dày 100 tờ,Việt nam,100tờ/ream,ream,160000,bia-cac-loai_0071.webp
72,Bìa các loại,4,Bìa mica A4 sần mờ( 50 tờ/ ream),Việt nam,100tờ/ream,ream,110000,bia-cac-loai_0072.webp
73,"Giấy note, decan",1,Giấy dính 1.5x2 Pronoti 15221( màu vàng),Trung quốc,38x51mm,tập,4500,giay-note-decan_0073.webp
74,"Giấy note, decan",2,Giấy dinh 2x3 Pronoti 30200( màu vàng),Trung quốc,50x75mm,Tập,5500,giay-note-decan_0074.webp
75,"Giấy note, decan",3,Giấy dính 3x3 Pronoti 30300( màu vàng),Trung quốc,75x75mm,Tập,7500,giay-note-decan_0075.webp
76,"Giấy note, decan",4,Giấy dính 3x4 Pronoti 30400( màu vàng),Trung quốc,75x100mm,Tập,9500,giay-note-decan_0076.webp
77,"Giấy note, decan",5,Giấy dính 3x5 Pronoti 30500( màu vàng),Trung quốc,75x125mm,Tập,12000,giay-note-decan_0077.webp
78,"Giấy note, decan",6,Giấy dính kẻ ngang 3x3 Pronoti 50336( màu vàng),Trung quốc,76x76mm,Tập,11500,giay-note-decan_0078.webp
79,"Giấy note, decan",7,Giấy dính kẻ ngang 3x4 Pronoti- 50346( màu vàng),Trung quốc,76x102mm,Tập,14500,giay-note-decan_0079.webp
80,"Giấy note, decan",8,"Giấy dính phản quang 4 màu 30232 ( 3x2)- hồng, vàng, xanh, cam",Trung quốc,50x75mm,tập,10000,giay-note-decan_0080.webp
81,"Giấy note, decan",9,"Giấy dính phản quang 4 màu 30388 ( 3x3)- hồng, vàng, xanh, cam",Trung quốc,75x75mm,tập,11000,giay-note-decan_0081.webp
82,"Giấy note, decan",10,"Giấy dính 2x3 Deli A012( Vàng, hồng, xanh biển, xanh cốm)",Trung quốc,50x75mm,Tập,9000,giay-note-decan_0082.webp
83,"Giấy note, decan",11,"Giấy đính 3x3 Deli A013( Vàng, hồng, xanh biển, xanh cốm)",Trung quốc,75x75mm,Tập,11500,giay-note-decan_0083.webp
84,"Giấy note, decan",12,"Giấy dính 3x4 Deli A014( Vàng, hồng, xanh biển, xanh cốm)",Trung quốc,75x100mm,Tập,15000,giay-note-decan_0084.webp
85,"Giấy note, decan",13,"Giấy dính 3x5 Deli A015( Vàng, hồng, xanh biển, xanh cốm)",Trung quốc,75x125mm,Tập,18500,giay-note-decan_0085.webp
86,"Giấy note, decan",14,Giấy phân trang Pronoti 07008 3x3 ( 3 màu),Trung Quốc,25x75mm,tập,12000,giay-note-decan_0086.webp
87,"Giấy note, decan",16,Giấy phân trang Pronoti 07320 3x3 ( 5 màu),Trung Quốc,12x76mm,tập,16500,giay-note-decan_0087.webp
88,"Giấy note, decan",17,Giấy dính trình ký 5 màu giấy Deli 7154,Trung Quốc,12x50mm,tập,16000,giay-note-decan_0088.webp
89,"Giấy note, decan",18,Giấy phân trang 5 màu giấy proti 40434,Trung Quốc,12x50mm,tập,13000,giay-note-decan_0089.webp
90,"Giấy note, decan",19,Giấy dính trình ký 5 màu nhựa mũi tên proti 45502,Trung Quốc,5 màu,tập,13000,giay-note-decan_0090.webp
91,"Giấy note, decan",20,Giấy dính trình ký 5 màu nhựa deli A106 mũi tên,Trung Quốc,5 màu,tập,16000,giay-note-decan_0091.webp
92,"Giấy note, decan",21,Giấy dính trình ký 5 màu nhựa deli A102,Trung Quốc,5 màu,tập,22000,giay-note-decan_0092.webp
93,"Giấy note, decan",22,Giấy dính trình ký Please sign nhựa 5649 Pronoti,Trung Quốc,5 màu,tập,22000,giay-note-decan_0093.webp
94,"Giấy note, decan",23,Giấy dính trình ký Signhere 5 màu 45668 Pronoti,Trung Quốc,5 màu,tập,23000,giay-note-decan_0094.webp
95,"Giấy note, decan",24,Giấy Sign here Deli A101,Trung Quốc,1 màu vàng,tập,30000,giay-note-decan_0095.webp
96,"Giấy note, decan",25,Giấy dính trình ký nhựa SIGN HERE 3M,Đức,1 màu vàng,tập,42000,giay-note-decan_0096.webp
97,"Giấy note, decan",26,Giấy dán giá trắng cuộn nhỏ,Trung quốc,10 cuộn/cây,cuộn,2500,giay-note-decan_0097.webp
98,"Giấy note, decan",27,Giấy dán giá màu cuộn nhỏ,Trung quốc,10 cuộn/cây,Cuộn,3500,giay-note-decan_0098.webp
99,"Giấy note, decan",28,Giấy dán giá trắng cuộn to,Trung quốc,10 cuộn/cây,Cuộn,3500,giay-note-decan_0099.webp
100,"Giấy note, decan",29,Giấy Tomy A5 các cỡ,Trung Quốc,10 tờ/tập,tập,13000,giay-note-decan_0100.webp
101,"Giấy note, decan",30,Giấy Tomy A4 các cỡ,Trung Quốc,100 tờ,ream,150000,giay-note-decan_0101.webp
102,"Giấy note, decan",31,Giấy dính A4 đề can-100 tờ /ream( Trắng- Vàng),Việt nam,100 tờ,ream,90000,giay-note-decan_0102.webp
103,"Giấy note, decan",32,Giấy dính A4 đề can-100 tờ /ream( Trắng- Xanh),Đài Loan,100 tờ,ream,85000,giay-note-decan_0103.webp
104,"Giấy note, decan",32,Giấy dính decal trong dán nhãn A4,248,,ream,270000,giay-note-decan_0104.webp
105,"Giấy note, decan",1,Giấy ép Plastic khổ A7 dày (KT 8x11cm)- 125 MIC,Đài Loan,A7,ream,40000,giay-note-decan_0105.webp
106,"Giấy note, decan",2,Giấy ép Plastic khổ A6 Mỏng(KT 10x15cm)-35 MIC,Đài Loan,A6,ream,26000,giay-note-decan_0106.webp
107,"Giấy note, decan",3,Giấy ép Plastic khổ A5 Mỏng(KT16x21cm)-35 MIC,Đài Loan,A5,ream,40000,giay-note-decan_0107.webp
108,"Giấy note, decan",4,Giấy ép Plastic khổ A5 Trung (KT16x21cm)-45 MIC,Đài Loan,A5,ream,50000,giay-note-decan_0108.webp
109,"Giấy note, decan",5,Giấy ép Plastic khổ A5 dày (KT16x21cm)- 80 MIC,Đài Loan,A5,ream,70000,
110,"Giấy note, decan",6,Giấy ép Plastic khổ A4 Mỏng(KT21x30cm)- 50 MIC,Đài Loan,A4,ream,80000,giay-note-decan_0110.webp
111,"Giấy note, decan",7,Giấy ép Plastic khổ A4 trung (KT21x30cm)- 80 MIC,Đài Loan,A4,ream,120000,
112,"Giấy note, decan",8,Giấy ép Plastic khổ A4 dày (KT21x30cm)- 135 MIC,Đài Loan,A4,ream,195000,
113,"Giấy note, decan",9,Giấy ép Plastic khổ A3 Trung(KT 31x42cm) -80 MIC,Đài Loan,A3,ream,220000,
114,"Giấy note, decan",10,Giấy ép Plastic khổ A3 dày (KT 31x42cm) -135 MIC,Đài Loan,A3,ream,390000,
115,"Bút, thước, tẩy",3,Bút bi nến thiên long 093,Việt nam,20 chiếc/ hộp,chiếc,3100,but-thuoc-tay_0115.webp
116,"Bút, thước, tẩy",4,"Bút bi Thiên Long 08 (Xanh, đen, đỏ)",Việt nam,20 chiếc/ hộp,chiếc,5000,but-thuoc-tay_0116.webp
117,"Bút, thước, tẩy",5,"Bút bi Thiên Long 023 (Xanh, đen, đỏ)",Việt nam,20 chiếc/ hộp,chiếc,6000,but-thuoc-tay_0117.webp
118,"Bút, thước, tẩy",6,"Bút bi Thiên Long 025 (Xanh, đen, đỏ)",Việt nam,20 chiếc/ hộp,chiếc,6500,but-thuoc-tay_0118.webp
119,"Bút, thước, tẩy",7,"Bút bi Thiên Long 027 (Xanh, đen, đỏ)",Việt nam,20 chiếc/ hộp,chiếc,5000,but-thuoc-tay_0119.webp
120,"Bút, thước, tẩy",8,"Bút bi Thiên Long 079 (Xanh, đen, đỏ)",Việt nam,20 chiếc/ hộp,chiếc,4000,but-thuoc-tay_0120.webp
121,"Bút, thước, tẩy",9,"Bút bi Thiên Long 036 (Xanh, đen, đỏ)",Việt nam,20 chiếc/hộp,chiếc,12500,but-thuoc-tay_0121.webp
122,"Bút, thước, tẩy",10,"Bút bi thiên long 049 (Xanh, đen, đỏ)",Việt nam,20 chiếc/ hộp,chiếc,4000,but-thuoc-tay_0122.webp
123,"Bút, thước, tẩy",11,"Bút bi Thiên long 024 (Xanh, đen, đỏ)",Việt nam,20 chiếc/ hộp,chiếc,5500,but-thuoc-tay_0123.webp
124,"Bút, thước, tẩy",12,"Bút thiên long Gel- B01 Master (Xanh, đen, đỏ)",Việt nam,12 chiếc/hộp,chiếc,6500,but-thuoc-tay_0124.webp
125,"Bút, thước, tẩy",13,Bút bi Linc Flycer,Ấn độ,20 chiếc/ hộp,chiếc,5500,but-thuoc-tay_0125.webp
126,"Bút, thước, tẩy",14,Bút dính bàn đôi PH2 Thiên Long,Việt nam,02 chiếc,Bộ,17500,but-thuoc-tay_0126.webp
127,"Bút, thước, tẩy",15,Bút bi Double A Tritouch Ball pen 0.7,Việt Nam,12 chiếc/hộp,Chiếc,3500,but-thuoc-tay_0127.webp
128,"Bút, thước, tẩy",16,Bút bi 4 màu M&G,Việt Nam,4 màu,Chiếc,14000,but-thuoc-tay_0128.webp
129,"Bút, thước, tẩy",1,"Bút nước AIHAO- AH-801 (Xanh, đen, đỏ, tím)",Trung Quốc,48c/hộp,chiếc,3500,but-thuoc-tay_0129.webp
130,"Bút, thước, tẩy",2,Bút nuớc chữ A Eras E114 (48 chiếc/ Cốc),Trung Quốc,48c/hộp,chiếc,4000,but-thuoc-tay_0130.webp
131,"Bút, thước, tẩy",3,"Bút nước MINI (Xanh, đen, đỏ)",Trung Quốc,12c/hộp,chiếc,3000,but-thuoc-tay_0131.webp
132,"Bút, thước, tẩy",4,"Bút nước Techjob TG310 (Xanh, đen)",Trung quốc,12c/ hộp,chiếc,4500,but-thuoc-tay_0132.webp
133,"Bút, thước, tẩy",5,Bút nước thiên long Gel - B08,Việt nam,12c/hộp,chiếc,7000,but-thuoc-tay_0133.webp
134,"Bút, thước, tẩy",6,Bút nước Linc Executive,Ấn độ,20c/ hộp,chiếc,9000,but-thuoc-tay_0134.webp
135,"Bút, thước, tẩy",7,Bút nước thiên long Gel -B03,Việt nam,12c/hộp,chiếc,9500,but-thuoc-tay_0135.webp
136,"Bút, thước, tẩy",8,Bút bi nước bấm baoke A35 Classic 0.5,Trung quốc,12c/hộp,chiếc,10000,but-thuoc-tay_0136.webp
137,"Bút, thước, tẩy",9,Bút nước Gel 0.5 ml Cello Pointec,Ấn độ,12c/ hộp,chiếc,10500,but-thuoc-tay_0137.webp
138,"Bút, thước, tẩy",10,Bút bi nước M&G AGP02376 New 21 nét 0.5,Trung quốc,12c/ hộp,chiếc,13000,but-thuoc-tay_0138.webp
139,"Bút, thước, tẩy",11,Bút ký nước GP 777- nét 0.7,Trung quốc,12c/ hộp,chiếc,7000,but-thuoc-tay_0139.webp
140,"Bút, thước, tẩy",12,Bút ký nước Baoke PC-1588 nét 0.7,Trung quốc,12c/ hộp,chiếc,12000,but-thuoc-tay_0140.webp
141,"Bút, thước, tẩy",13,Bút ký nước Baoke PC-1048 nét 1.0,Trung quốc,12c/ hộp,chiếc,12000,but-thuoc-tay_0141.webp
142,"Bút, thước, tẩy",14,"Bút ký nướcUB-150( Xanh, đen, đỏ)- Hàng thường",Trung Quốc,12c/hộp,chiếc,10000,but-thuoc-tay_0142.webp
143,"Bút, thước, tẩy",15,"Bút ký nước UB-150 (Xanh, đen, đỏ)- Chính hãng",Nhật,10c/hộp,chiếc,35000,but-thuoc-tay_0143.webp
144,"Bút, thước, tẩy",16,"Bút ký nước UB-200( Xanh, đen, đỏ)- Chính hãng",Nhật,10c/hộp,chiếc,56000,but-thuoc-tay_0144.webp
145,"Bút, thước, tẩy",17,"Bút ký nước UM-153( Xanh, đen, đỏ)- Hàng thường",Trung quốc,12c/hộp,chiếc,35000,but-thuoc-tay_0145.webp
146,"Bút, thước, tẩy",18,"Bút ký nước UM-153( Xanh, đen, đỏ)- Hàng hãng",Nhật,12c/hộp,chiếc,52000,but-thuoc-tay_0146.webp
147,"Bút, thước, tẩy",19,Bút ký nước Pentel BL- L75 nét 0.5( Bấm)- Hàng hãng,Nhật,12c/ hộp,chiếc,45000,but-thuoc-tay_0147.webp
148,"Bút, thước, tẩy",20,Bút ký nước Pentel BL-55 nét 0.5( Nắp đậy)- Hàng hãng,Nhật,12c/ hộp,chiếc,45000,but-thuoc-tay_0148.webp
149,"Bút, thước, tẩy",21,Bút ký nước Pentel BL77 nét 0.7( Bấm)- Hàng hãng,Nhật,12c/ hộp,chiếc,45000,but-thuoc-tay_0149.webp
150,"Bút, thước, tẩy",22,Bút ký nước pentel BL 57 nét 0.7( Nắp đậy)- Hàng hãng,Nhật,12c/ hộp,chiếc,45000,but-thuoc-tay_0150.webp
151,"Bút, thước, tẩy",23,Bút ký nước pentel BL 60 nét 1.0( Nắp đậy)- Hàng hãng,Nhật,12c/ hộp,chiếc,45000,but-thuoc-tay_0151.webp
152,"Bút, thước, tẩy",24,Bút nước baoke PC3808,Trung quốc,12c/hộp,chiếc,6000,but-thuoc-tay_0152.webp
153,"Bút, thước, tẩy",25,"Bút ký số UNI Pin Finline"" 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8""",Nhật,12c/ hộp,chiếc,36000,but-thuoc-tay_0153.webp
154,"Bút, thước, tẩy",1,"Bút dạ bảng TL WB02( Xanh, đen, đỏ)",Việt nam,20 chiếc/hộp,chiếc,6000,but-thuoc-tay_0154.webp
155,"Bút, thước, tẩy",2,"Bút dạ bảng Thiên long WB03( Xanh, đen, đỏ)",Việt nam,10 chiếc/hộp,chiếc,8500,but-thuoc-tay_0155.webp
156,"Bút, thước, tẩy",3,"Bút dạ dầu Thiên Long PM09( Xanh, đen, đỏ)",Việt nam,10 chiếc/hộp,chiếc,10000,but-thuoc-tay_0156.webp
157,"Bút, thước, tẩy",4,"Bút dạ kính Thiên Long PM04( Xanh, đen, đỏ)",Việt nam,10 chiếc/hộp,chiếc,9500,but-thuoc-tay_0157.webp
158,"Bút, thước, tẩy",1,Bút dấu dòng thiên long HL03( tròn nhỏ),Việt Nam,12 chiếc/hộp,chiếc,9000,but-thuoc-tay_0158.webp
159,"Bút, thước, tẩy",2,Bút dấu dòng thiên long HL02( dẹt to),Việt Nam,12 chiếc/hộp,chiếc,10000,but-thuoc-tay_0159.webp
160,"Bút, thước, tẩy",3,Bút dấu dòng 364 Staedtler (dẹt to),Đức,12 chiếc/hộp,chiếc,22000,but-thuoc-tay_0160.webp
161,"Bút, thước, tẩy",1,Băng xoá PLUS nhỏ WH 505-7 mét,Việt Nhật,20 chiếc/ hộp,chiếc,14000,but-thuoc-tay_0161.webp
162,"Bút, thước, tẩy",2,Băng xoá PLUS to WH 105-12 mét,Việt Nhật,10 chiếc/ hộp,chiếc,22000,but-thuoc-tay_0162.webp
163,"Bút, thước, tẩy",3,Ruột băng xoá Plus 105- 12 mét,Việt Nhật,10 chiếc/ hộp,chiếc,16500,but-thuoc-tay_0163.webp
164,"Bút, thước, tẩy",4,Bút xoá Thiên Long CP05,Việt nam,12 chiếc/hộp,chiếc,17500,but-thuoc-tay_0164.webp
165,"Bút, thước, tẩy",5,Bút xoá Thiên Long CP02,Việt nam,12 chiếc/hộp,chiếc,22000,but-thuoc-tay_0165.webp
166,"Bút, thước, tẩy",1,Bút chì khúc thiên long PC09,Việt nam,20 chiếc/hộp,chiếc,4000,but-thuoc-tay_0166.webp
167,"Bút, thước, tẩy",2,Bút chì STAEDLER 134-2B có tẩy,Đức,12 chiếc/hộp,chiếc,4000,but-thuoc-tay_0167.webp
168,"Bút, thước, tẩy",3,Bút chì thiên long 2HB- GP01,Việt nam,12 chiếc/hộp,chiếc,3500,but-thuoc-tay_0168.webp
169,"Bút, thước, tẩy",4,Bút chì thiên long HB- GP04,Việt nam,12 chiếc/hộp,chiếc,4000,but-thuoc-tay_0169.webp
170,"Bút, thước, tẩy",5,Bút chì STEADLER 120- 2B( Thân sọc vàng),Đức,12 chiếc/hộp,chiếc,12000,but-thuoc-tay_0170.webp
171,"Bút, thước, tẩy",6,"Bút chì kỹ thuật staedler 110- HB, 3B, 4B, 5B, 6B( Thân sọc đỏ)",Đức,12 chiếc/hộp,chiếc,14000,but-thuoc-tay_0171.webp
172,"Bút, thước, tẩy",7,"Bút chì kim 777 STAEDLER( 0.5, 0.7)",Đức,12 chiếc/hộp,chiếc,28000,but-thuoc-tay_0172.webp
173,"Bút, thước, tẩy",8,Ruột chì Deli 0.5( 7003),Trung Quốc,24 chiếc/hộp,chiếc,10000,but-thuoc-tay_0173.webp
174,"Bút, thước, tẩy",9,Ruột chì kim Steadler 0.3/2B,Đức,12 chiếc/hộp,hộp,25000,but-thuoc-tay_0174.webp
175,"Bút, thước, tẩy",10,Ruột chì kim Steadler 0.5/2B,Đức,12 chiếc/hộp,hộp,16500,but-thuoc-tay_0175.webp
176,"Bút, thước, tẩy",11,Ruột chì kim Steadler 0.7/2B,Đức,12 chiếc/hộp,hộp,20500,but-thuoc-tay_0176.webp
177,"Bút, thước, tẩy",1,Tẩy STAEDLER 526 L20- to,Đức,20viên/hộp,viên,10000,but-thuoc-tay_0177.webp
178,"Bút, thước, tẩy",2,Tẩy STAEDLER 526 H40- bé,Đức,40 viên/ hộp,viên,7500,but-thuoc-tay_0178.webp
179,"Bút, thước, tẩy",3,Tẩy bút chì Plus nhỏ,Nhật,40 viên/ hộp,viên,4500,but-thuoc-tay_0179.webp
180,"Bút, thước, tẩy",4,Tẩy bút chì Plus to,Nhật,20viên/hộp,viên,7500,but-thuoc-tay_0180.webp
181,"Bút, thước, tẩy",5,Gọt chì SDI 0137,Trung quốc,50 chiếc/ hộp,chiếc,5000,but-thuoc-tay_0181.webp
182,"Bút, thước, tẩy",6,Gọt chì Delli 554,Đài Loan,20 chiếc/ hộp,chiếc,10000,but-thuoc-tay_0182.webp
183,"Bút, thước, tẩy",7,Gọt chì Delli 578,Đài Loan,20 chiếc/ hộp,chiếc,12000,but-thuoc-tay_0183.webp
